"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"76"	"Mitotic Cell Cycle Phase Transition (GO:0044772)"	"76"	0.00312359588428356	0.0352312048509372	0	0	11.1048913043478	64.0615684049442	"CDKN1B;CDK6;SKP2"
"77"	"Negative Regulation of Insulin Receptor Signaling Pathway (GO:0046627)"	"77"	0.00320495387553046	0.0352312048509372	0	0	26.1683673469388	150.286440451286	"PTPN1;GRB10"
"78"	"Negative Regulation of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144)"	"78"	0.00320495387553046	0.0352312048509372	0	0	26.1683673469388	150.286440451286	"NCOR1;FOXP1"
"79"	"Protein Localization to Chromatin (GO:0071168)"	"79"	0.00320495387553046	0.0352312048509372	0	0	26.1683673469388	150.286440451286	"BRD3;RAD21"
"80"	"Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)"	"80"	0.00332166796356984	0.0352312048509372	0	0	3.9788837744534	22.7086365088044	"EOMES;NCOR1;BCL11A;NFIC;HMGA2;TP53;NFKB1"
"81"	"Positive Regulation of Wnt Signaling Pathway (GO:0030177)"	"81"	0.00335262532370155	0.0352312048509372	0	0	10.8209745762712	61.6580382406039	"USP34;NFKB1;WLS"
"82"	"Negative Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000134)"	"82"	0.00339383165995266	0.0352312048509372	0	0	25.3741496598639	144.27223134964	"APC;PTEN"
"83"	"Negative Regulation of Cellular Response to Insulin Stimulus (GO:1900077)"	"83"	0.00339383165995266	0.0352312048509372	0	0	25.3741496598639	144.27223134964	"PTPN1;GRB10"
"84"	"Dendrite Morphogenesis (GO:0048813)"	"84"	0.00339383165995266	0.0352312048509372	0	0	25.3741496598639	144.27223134964	"CDC42;PTEN"
"85"	"Positive Regulation of Cell Motility (GO:2000147)"	"85"	0.00348221785296968	0.0357234584445831	0	0	6.96636925188744	39.4302481965286	"CDC42;APC;PIK3CD;RICTOR"
"86"	"Negative Regulation of Cell Growth (GO:0030308)"	"86"	0.00359170872922812	0.0364026428060065	0	0	10.5511363636364	59.3936889125443	"CDKN1B;BCL11A;TP53"
"87"	"Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045)"	"87"	0.00367366120060616	0.0364026428060065	0	0	10.4641393442623	58.6678932228226	"CDKN1B;APC;PTEN"
