go_id	original_term	simplified_term	group	theme	traits	best_adjp	genes
GO:0010595	Positive Regulation of Endothelial Cell Migration	Endothelial cell migration	Cardiovascular development	Cardiovascular, organ & tissue development	cortical	0.0242854222798036	AKT3;FOXP1;PIK3CD
GO:0007507	Heart Development	Heart development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	4.81058123536924e-06	BMP2;BMP5;BMP6;DLC1;ECE1;FBN1;FN1;GLI2;INSR;MEF2C;NIPBL;PCSK5;PTEN;SALL1;SOX4;SOX9;TGFB2
GO:0003007	Heart Morphogenesis	Heart development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.00218385317985304	ADAMTS5;BMP2;DLC1;INSR;NIPBL;SOX9;TGFB2
GO:0060039	Pericardium Development	Heart development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0252083743033831	BMP2;BMP5
GO:2000826	Regulation of Heart Morphogenesis	Heart development	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.0203898311038544	BMP2;SMO
GO:0045429	Positive Regulation of Nitric Oxide Biosynthetic Process	Nitric-oxide / vascular tone	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.0171928483106375	ESR1;INSR;SMAD3
GO:0045428	Regulation of Nitric Oxide Biosynthetic Process	Nitric-oxide / vascular tone	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.00686714011881466	ESR1;INSR;PTGIS;SMAD3
GO:0071499	Cellular Response to Laminar Fluid Shear Stress	Response to fluid shear stress	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.030208924490067	GNAS;NFE2L2;PKN2
GO:0034616	Response to Laminar Fluid Shear Stress	Response to fluid shear stress	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0405367967367065	NFE2L2;SMAD6
GO:0097699	Vascular Endothelial Cell Response to Fluid Shear Stress	Response to fluid shear stress	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0225506063344701	ABL1;GNAS;PKN2
GO:0001953	Negative Regulation of Cell-Matrix Adhesion	Cell adhesion	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	trunk	0.0447289526532346	DLC1;JAG1;PTEN
GO:0010811	Positive Regulation of Cell-Substrate Adhesion	Cell adhesion	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.00457058946199023	CDK6;DOCK5;FBLN1;FBLN2;FN1
GO:0030335	Positive Regulation of Cell Migration	Cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical+limb+trunk	9.16625265142008e-06	ABL1;APC;BMP2;CDC42;DAB2;DOCK5;ENPP2;EZH2;FBLN1;FN1;FOXP1;IGF1;IGF1R;INSR;LEF1;NIPBL;PIK3CD;PRKCA;RICTOR;SMO;SMOC2;SNAI2;SOX9;SPRY2;TGFB2;WNT5A
GO:2000147	Positive Regulation of Cell Motility	Cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical+limb+trunk	0.00978699434816074	APC;BMP2;CDC42;DAB2;EZH2;IGF1;IGF1R;INSR;LEF1;PIK3CD;PRKCA;RICTOR;SMO;SNAI2;SPRY2
GO:0030334	Regulation of Cell Migration	Cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb+trunk	0.000741648539694313	BMP2;CLIC4;DAB2;DLC1;DLG5;ENPP2;EZH2;FBN2;FGF18;FOXO3;GNA12;IGF1;IGF1R;INSR;JAG1;LEF1;PIK3CD;PRKCA;PTEN;SERPINE2;SMO;SNAI2;SPRY2
GO:2000145	Regulation of Cell Motility	Cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.0260827319941687	CDK6;ENPP2;FBLN1;FGF18;SERPINE2
GO:0031345	Negative Regulation of Cell Projection Organization	Cell-projection / pseudopodium assembly	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	trunk	0.0216621028134014	LPAR1;PTEN;PTPN9;SPRY2
GO:0120034	Positive Regulation of Plasma Membrane Bounded Cell Projection Assembly	Cell-projection / pseudopodium assembly	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical	0.0272215588850734	APC;CDC42;PLEKHM1
GO:0031274	Positive Regulation of Pseudopodium Assembly	Cell-projection / pseudopodium assembly	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical	0.0121582237958431	APC;CDC42
GO:0031272	Regulation of Pseudopodium Assembly	Cell-projection / pseudopodium assembly	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical	0.0121582237958431	APC;CDC42
GO:0010634	Positive Regulation of Epithelial Cell Migration	Epithelial cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.00404313980102885	DOCK5;ENPP2;SOX9;TGFB2
GO:0010632	Regulation of Epithelial Cell Migration	Epithelial cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.000741648539694313	DOCK5;ENPP2;PTPRG;SOX9;TGFB2
GO:0001837	Epithelial to Mesenchymal Transition	Epithelial–mesenchymal transition (EMT)	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical+limb+trunk	1.77018934872202e-08	BMP2;CTNNB1;DLG5;EOMES;HMGA2;IGF1;LEF1;LOXL2;SNAI2;SOX9;TGFB2;WNT4;WNT5A
GO:0010719	Negative Regulation of Epithelial to Mesenchymal Transition	Epithelial–mesenchymal transition (EMT)	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical+trunk	0.00870433978301146	BMP5;FBXO11;PTEN;SPRED1;SPRY2
GO:0010718	Positive Regulation of Epithelial to Mesenchymal Transition	Epithelial–mesenchymal transition (EMT)	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb+trunk	2.36896973202021e-07	BAMBI;BMP2;CTNNB1;DAB2;EZH2;JAG1;LEF1;LOXL2;SMAD3;TCF7L2;TGFB2
GO:0010717	Regulation of Epithelial to Mesenchymal Transition	Epithelial–mesenchymal transition (EMT)	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	cortical+limb+trunk	1.83834146079815e-08	BAMBI;BMP2;BMP5;CTNNB1;DAB2;EZH2;FBXO11;LEF1;LOXL2;PTEN;SMAD3;SPRED1;SPRY2;TCF7L2;TGFB2
GO:0003337	Mesenchymal to Epithelial Transition Involved in Metanephros Morphogenesis	Mesenchymal–epithelial transition (MET)	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.00851143570316317	SALL1;SMO
GO:0048762	Mesenchymal Cell Differentiation	Mesenchyme development	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb+trunk	8.6888176801841e-09	BMP2;CTNNB1;DLG5;FBXL17;HMGA2;IGF1;LEF1;LOXL2;MEF2C;SNAI2;SOX9;TGFB2;WNT4;WNT5A
GO:0060485	Mesenchyme Development	Mesenchyme development	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	trunk	0.0116502825361201	BMP2;HMGA2;SOX4
GO:0072132	Mesenchyme Morphogenesis	Mesenchyme development	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.000339146196426167	ADAMTS5;BMP2;SOX9;TGFB2
GO:0014033	Neural Crest Cell Differentiation	Neural-crest differentiation	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.00866955702173028	FBXL17;MEF2C;SNAI2
GO:0014912	Negative Regulation of Smooth Muscle Cell Migration	Smooth-muscle cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	trunk	0.00646797557019405	IGFBP3;MEF2C;PRKG1
GO:1904753	Negative Regulation of Vascular Associated Smooth Muscle Cell Migration	Smooth-muscle cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	trunk	0.0122281454930634	MEF2C;PRKG1
GO:1904752	Regulation of Vascular Associated Smooth Muscle Cell Migration	Smooth-muscle cell migration	EMT, mesenchyme, migration & adhesion	Cardiovascular, organ & tissue development	limb	0.0358741067869525	DOCK5;MEF2C
GO:0060037	Pharyngeal System Development	Craniofacial / pharyngeal development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0116502825361201	BMP5;PTCH1;TGFB2
GO:0043584	Nose Development	Craniofacial development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0252083743033831	SKI;SMCHD1
GO:0062009	Secondary Palate Development	Craniofacial development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.0054198827686391	LEF1;TGFB2;WNT5A
GO:0048565	Digestive Tract Development	Digestive-tract development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.000677157345252039	GLI2;NIPBL;PCSK5;PKDCC;SALL1;SMO;TGFB2
GO:0048566	Embryonic Digestive Tract Development	Digestive-tract development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	8.09148350356681e-05	GLI2;NIPBL;PCSK5;PKDCC;SALL1;TGFB2
GO:0043583	Ear Development	Ear development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0161513017728003	ECE1;NIPBL
GO:0043009	Chordate Embryonic Development	Embryonic development (general)	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.0101766205131661	BMP2;BMP5;DLX5;PCSK5;PTCH1;WNT5A
GO:0048568	Embryonic Organ Development	Embryonic organ development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.00522446168991229	GLI2;PCSK5;SALL1;TEAD1;TGFB2
GO:0048562	Embryonic Organ Morphogenesis	Embryonic organ development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.00644622688785436	EFEMP1;FBN1;FBN2;MFAP2
GO:0001706	Endoderm Formation	Endoderm Formation	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	cortical	0.0065200959910526	BRD3;EOMES;HMGA2
GO:0035987	Endodermal Cell Differentiation	Endodermal Cell Differentiation	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	cortical	0.0351264100089645	BRD3;HMGA2
GO:0009913	Epidermal Cell Differentiation	Epidermis development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.027750852373872	CTNNB1;GLI2;JAG1;WNT5A
GO:0048754	Branching Morphogenesis of an Epithelial Tube	Epithelial tube morphogenesis	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.0305071346248029	BMP2;GLI2;SALL1
GO:0060562	Epithelial Tube Morphogenesis	Epithelial tube morphogenesis	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0418700672492502	CTNNB1;GLI2;MEF2C
GO:0002064	Epithelial Cell Development	Epithelium development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0264239480554881	BMP5;BMP6;CDK6
GO:0030855	Epithelial Cell Differentiation	Epithelium development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.00762411644441773	CTNNB1;DAB2;E2F7;GLI2;HNRNPH3;JAG1;TGFB2
GO:0060429	Epithelium Development	Epithelium development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.00499162129122101	BMP2;PTCH1;SALL1;SMO;SNAI2;SOX9;TGFB2
GO:1905332	Positive Regulation of Morphogenesis of an Epithelium	Epithelium morphogenesis	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	cortical+limb	0.011113581110773	CTNNB1;PIK3CD;SMO;SOX9
GO:0043010	Camera-type Eye Development	Eye development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.0296522558761575	EFEMP1;FBN1;FBN2
GO:0048048	Embryonic Eye Morphogenesis	Eye development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	5.32028038270214e-05	EFEMP1;FBN1;FBN2;MFAP2
