"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"74"	"Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)"	"74"	1.91040441966548e-05	0.000533880586468676	0	0	4.45960294293372	48.4563085950386	"IRS1;RYK;INSR;FRS2;PIK3R1;IGF1;FOXO1;IGF1R;GHR;SOCS2;FGF18;GRB10;FGFR4"
"75"	"BMP Signaling Pathway (GO:0030509)"	"75"	2.09323311692725e-05	0.000566928080531636	0	0	12.1288526546033	130.678874068165	"BMP2;SMAD6;BMPR1B;RUNX2;BMP6;BMP5"
"76"	"Positive Regulation of Osteoblast Differentiation (GO:0045669)"	"76"	2.09323311692725e-05	0.000566928080531636	0	0	12.1288526546033	130.678874068165	"MEF2C;IGF1;BMPR1B;RUNX2;BMP6;WNT4"
"77"	"Positive Regulation of Cellular Process (GO:0048522)"	"77"	2.11090242751141e-05	0.000566928080531636	0	0	3.16064	34.0268494597085	"TGFB2;IRS1;INSR;LEF1;PTEN;PRKCA;IGF1;BMP6;BMP5;IGF1R;GHR;BMP2;CCND2;GRK5;MYC;FGF18;CTNNB1;FGFR4;SOX4;EZH2"
"78"	"Regulation of Smooth Muscle Cell Proliferation (GO:0048660)"	"78"	2.33406497481597e-05	0.000618826457425567	0	0	11.8755841121495	126.656834595073	"TCF7L2;BMP2;IGFBP3;CTNNB1;PIK3R1;IGF1"
"79"	"External Encapsulating Structure Organization (GO:0045229)"	"79"	2.5622017618896e-05	0.000662329155448463	0	0	7.42846675215241	78.5341851647619	"COL27A1;ADAMTS3;ADAMTS19;SMOC1;ADAMTS17;PXDN;DMP1;ADAMTS10"
"80"	"Extracellular Structure Organization (GO:0043062)"	"80"	2.5622017618896e-05	0.000662329155448463	0	0	7.42846675215241	78.5341851647619	"COL27A1;ADAMTS3;ADAMTS19;SMOC1;ADAMTS17;PXDN;DMP1;ADAMTS10"
"81"	"Negative Regulation of Gene Expression, Epigenetic (GO:0045814)"	"81"	2.65045357728003e-05	0.000676683703433963	0	0	6.3488639531642	66.9055643249985	"SUZ12;RYBP;MAX;PCGF5;MYC;SCMH1;HMGA2;SPTY2D1;EZH2"
"82"	"Regulation of Multicellular Organism Growth (GO:0040014)"	"82"	2.70145713554956e-05	0.000681294311745913	0	0	29.011396011396	305.174766746083	"GHR;GHSR;PTCH1;GNAS"
"83"	"Negative Regulation of Intracellular Signal Transduction (GO:1902532)"	"83"	2.74913120399254e-05	0.000684964256609225	0	0	4.02961452289309	42.3175631899728	"WWC2;PTEN;SMAD6;ESR1;IGF1R;CD2AP;NFKBIA;SKI;SPRED1;PPM1B;DLG5;PDE3A;VGLL4;EZH2"
"84"	"Negative Regulation of Blood Vessel Morphogenesis (GO:2000181)"	"84"	3.00582316251937e-05	0.000740005035725008	0	0	8.77940449715839	91.4144431527779	"SPRED1;TGFB2;CTNNB1;SPRY2;THBS2;PML;WNT4"
"85"	"Negative Regulation of Wnt Signaling Pathway (GO:0030178)"	"85"	3.11650182057844e-05	0.000758226560583083	0	0	6.21091752190665	64.4458112288502	"SFRP4;TCF7L2;BMP2;DAB2;LATS2;WNT5A;GRB10;VGLL4;CDON"
"86"	"Regulation of Developmental Growth (GO:0048638)"	"86"	3.31966028078056e-05	0.000798262495424906	0	0	15.7744186046512	162.682573052851	"GHR;NIPBL;LATS2;INSR;ABL1"
"87"	"Regulation of Cartilage Development (GO:0061035)"	"87"	3.44428768095211e-05	0.000818711140713674	0	0	26.9378306878307	276.818760667763	"BMP2;TRPS1;BMPR1B;SOX5"
