"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"53"	"Proteolysis (GO:0006508)"	"53"	9.24128545018381e-05	0.00245853065750173	0	0	4.39344131968598	40.8117504875884	"ADAMTS5;ACAN;ADAM28;ADAMTS3;PAPPA;PTCH1;ADAMTS17;CPZ;PCSK5;ADAMTS10;PAPPA2"
"54"	"Cartilage Development (GO:0051216)"	"54"	0.000106737239201447	0.00278702791248222	0	0	11.8426861856628	108.303028498001	"MEF2C;BMP2;ITGB8;HMGA2;SOX9"
"55"	"Positive Regulation of Multicellular Organismal Process (GO:0051240)"	"55"	0.000112643429502574	0.00288776791997508	0	0	3.98249801113763	36.2060173401078	"MC4R;BMP2;TGFB2;SMAD3;SMO;BAMBI;MFAP2;LEF1;PIK3CD;SOX9;IGF1R;EZH2"
"56"	"Negative Regulation of Gene Expression, Epigenetic (GO:0045814)"	"56"	0.000120333501258278	0.00302982565668164	0	0	6.91250851084525	62.3870724564468	"RYBP;PCGF5;SCMH1;DNMT3A;SMARCA5;HMGA2;EZH2"
"57"	"Atrioventricular Valve Development (GO:0003171)"	"57"	0.000145861604670377	0.00360815548395143	0	0	36.4206773618538	321.698463767749	"TGFB2;BMP2;SLIT3"
"58"	"Response to Transforming Growth Factor Beta (GO:0071559)"	"58"	0.000154353682225316	0.0037523912403051	0	0	16.7853618421053	147.312766038782	"MEF2C;SMAD3;SOX9;NR3C1"
"59"	"Chondrocyte Differentiation (GO:0002062)"	"59"	0.000172048502171441	0.00404313980102885	0	0	16.2759170653908	141.075321869696	"MEF2C;BMP2;HMGA2;SOX9"
"60"	"Positive Regulation of Epithelial Cell Migration (GO:0010634)"	"60"	0.000172048502171441	0.00404313980102885	0	0	16.2759170653908	141.075321869696	"DOCK5;TGFB2;ENPP2;SOX9"
"61"	"Negative Regulation of Cartilage Development (GO:0061037)"	"61"	0.000181315266314468	0.00419105779513771	0	0	33.3839869281046	287.61216919401	"EFEMP1;SNAI2;SOX9"
"62"	"Positive Regulation of Vasculature Development (GO:1904018)"	"62"	0.000191869299215763	0.00436347922410041	0	0	7.82269230769231	66.9520465442394	"SMOC2;PTGIS;FGF18;HMGA2;PIK3CD;ITGB8"
